model_name,model_name_raw,assay_id,UniProt_id,fold_variable_name,loss_fitness,Spearman_fitness,model_type,model_name_suffix,targets,depth_mutants_group,total_training_steps,total_training_epochs,aa_embeddings,target_prediction_model,target_prediction_head,use_pseudo_likelihood_to_predict_fitness,use_unsupervised_fitness_pred_to_predict_fitness,use_NPT_pseudo_likelihood_to_predict_target,frozen_embedding_parameters,dropout,weight_decay,PNPT_no_reconstruction_error,PNPT_fixed_helper_points,PNPT_ensemble_test_num_seeds,PNPT_deactivate_col_attention,PNPT_tranception_attention,early_stopping_patience,use_validation_set,training_num_assay_sequences_per_batch_per_gpu,eval_num_sequences_to_score_per_batch_per_gpu,eval_num_training_sequences_per_batch_per_gpu,eval_training_sequences_sampling_method,num_MSA_sequences_per_training_instance,embed_dim,ffn_embed_dim,attention_heads,conv_kernel_size,num_protein_npt_layers,total_loss,Std_dev_Spearman_fitness,num_obs_Spearman_fitness,standardized_loss_fitness,standardized_Spearman_fitness
Kermut,kermut,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,1.007381818556183,0.08893423004819545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.0214656986766066,0.05054861591756768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.0254475769066513,0.06814539644521575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (const. mean),kermut_constant_mean,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,0.9963781543683173,0.11623818862842644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (const. mean),kermut_constant_mean,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.0062967496093915,0.08857650645868154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (const. mean),kermut_constant_mean,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.0130057102882624,0.08984964343137117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no m),kermut_no_m,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,1.00244219752189,0.11013499180621006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no m),kermut_no_m,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.0063717655091016,0.10014247748377517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no m),kermut_no_m,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.014679117006424,0.1128118536797203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kermut (no m, const. mean)",kermut_no_m_constant_mean,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,1.0066408143699344,0.08031593344867774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kermut (no m, const. mean)",kermut_no_m_constant_mean,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.0112491721206314,0.06565487040646571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kermut (no m, const. mean)",kermut_no_m_constant_mean,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.0064211731719073,0.10973592477938891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no distance),kermut_no_d,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,0.9989414871223324,0.10648776565706032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no distance),kermut_no_d,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.0075623662652995,0.0938217876467907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no distance),kermut_no_d,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.0130759572645869,0.09499056073980183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no p),kermut_no_p,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,1.000920682935037,0.10562248577866233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no p),kermut_no_p,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.0111397810825131,0.08117310487023757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no p),kermut_no_p,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.0167527895102895,0.08356855409843371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no global),kermut_no_g,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,1.0092492673206923,0.053231121536873094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no global),kermut_no_g,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.0480960972820068,-0.06197474860418604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no global),kermut_no_g,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.061661662500061,-0.047717041302437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no Hellinger),kermut_no_h,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,1.0126979419112867,0.07433682047557313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no Hellinger),kermut_no_h,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.0258791556763056,0.03365893573164474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no Hellinger),kermut_no_h,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.0293302573901446,0.0549048559975519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no Hellinger/p),kermut_no_hp,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,1.01033900615712,0.08159780404734308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no Hellinger/p),kermut_no_hp,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.0157697534942505,0.06960651377039624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (no Hellinger/p),kermut_no_hp,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.021457148216815,0.08328772147644478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (ProteinMPNN),kermut_proteinmpnn,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,0.9984117726386206,0.11478391428086566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (ProteinMPNN),kermut_proteinmpnn,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.005639735581076,0.09275054345054201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (ProteinMPNN),kermut_proteinmpnn,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.0139079062190763,0.08766988928703072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (TranceptEVE),kermut_trancepteve,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,0.9987423506691244,0.11076801158330313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (TranceptEVE),kermut_trancepteve,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.0124629229709583,0.0366874114204564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (TranceptEVE),kermut_trancepteve,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.013049562856291,0.07242872740197863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (ESM-IF1),kermut_esmif1,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,1.0003166165553314,0.10567309459638569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (ESM-IF1),kermut_esmif1,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.0128784037176841,0.04958906172834555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (ESM-IF1),kermut_esmif1,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.0132881635652338,0.08304738509461726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (EVE),kermut_eve,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,1.0131356728782994,0.07484384259256806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (EVE),kermut_eve,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.030425533275499,0.025500581654992954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (EVE),kermut_eve,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.0452986293170454,0.024174609498928305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (GEMME),kermut_gemme,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,0.997858876868762,0.10488685511172446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (GEMME),kermut_gemme,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.0091449986476186,0.07006231464142901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (GEMME),kermut_gemme,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.0174893988257683,0.05573942303085192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (VESPA),kermut_vespa,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,0.9998436740969452,0.10973677367141177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (VESPA),kermut_vespa,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.0115711061790762,0.04612115973498704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (VESPA),kermut_vespa,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.0177763355897531,0.05871915016136774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,fold_random_5,0.48338044275600495,0.6766012058176222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,fold_modulo_5,0.6774191819311292,0.5357649583678162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,fold_contiguous_5,0.8041516209613797,0.5455427041159819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (const. mean),kermut_constant_mean,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,fold_random_5,0.4832749723282859,0.6766779521798459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut (const. mean),kermut_constant_mean,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,fold_modulo_5,0.6753105796426507,0.5381672822518603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
