model_name,model_name_raw,assay_id,UniProt_id,fold_variable_name,loss_fitness,Spearman_fitness,model_type,model_name_suffix,targets,depth_mutants_group,total_training_steps,total_training_epochs,aa_embeddings,target_prediction_model,target_prediction_head,use_pseudo_likelihood_to_predict_fitness,use_unsupervised_fitness_pred_to_predict_fitness,use_NPT_pseudo_likelihood_to_predict_target,frozen_embedding_parameters,dropout,weight_decay,PNPT_no_reconstruction_error,PNPT_fixed_helper_points,PNPT_ensemble_test_num_seeds,PNPT_deactivate_col_attention,PNPT_tranception_attention,early_stopping_patience,use_validation_set,training_num_assay_sequences_per_batch_per_gpu,eval_num_sequences_to_score_per_batch_per_gpu,eval_num_training_sequences_per_batch_per_gpu,eval_training_sequences_sampling_method,num_MSA_sequences_per_training_instance,embed_dim,ffn_embed_dim,attention_heads,conv_kernel_size,num_protein_npt_layers,total_loss,Std_dev_Spearman_fitness,num_obs_Spearman_fitness,standardized_loss_fitness,standardized_Spearman_fitness
Kermut,kermut,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,fold_random_5,0.7767479692282019,0.5854827601303446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,fold_modulo_5,0.9170210126688583,0.41803308873029976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,fold_contiguous_5,1.0992955843223502,0.3836707994889049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,fold_random_5,0.30004794908225874,0.835132255922625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,fold_modulo_5,0.6266598413603707,0.6215117455755577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,fold_contiguous_5,0.7542260664158794,0.545225242578031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_random_5,1.007381818556183,0.08893423004819545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_modulo_5,1.0214656986766066,0.05054861591756768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,fold_contiguous_5,1.0254475769066513,0.06814539644521575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,fold_random_5,0.48338044275600495,0.6766012058176222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,fold_modulo_5,0.6774191819311292,0.5357649583678162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,fold_contiguous_5,0.8041516209613797,0.5455427041159819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,fold_random_5,0.29809626474188955,0.8357458155739088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,fold_modulo_5,0.5062619207226068,0.7079179701030551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,fold_contiguous_5,0.6310353435511872,0.6341119351315343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,fold_random_5,0.9620880594543855,0.553896543625567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,fold_modulo_5,0.9713263138166714,0.4942225812598855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,fold_contiguous_5,1.026108112132743,0.45098431879647094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A4_HUMAN_Seuma_2022,A4_HUMAN,fold_random_5,0.40553009361408004,0.7489807171317394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A4_HUMAN_Seuma_2022,A4_HUMAN,fold_modulo_5,0.576687679164622,0.6560830477521957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A4_HUMAN_Seuma_2022,A4_HUMAN,fold_contiguous_5,0.5780272145705037,0.6586460628703994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A4D664_9INFA_Soh_2019,A4D664_9INFA,fold_random_5,0.48492628447063957,0.7600978787667957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A4D664_9INFA_Soh_2019,A4D664_9INFA,fold_modulo_5,0.8241280358012242,0.5378849194022743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A4D664_9INFA_Soh_2019,A4D664_9INFA,fold_contiguous_5,0.9948180927177759,0.38190084694172993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,fold_random_5,0.15191015984232442,0.9053740605545846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,fold_modulo_5,0.2771202671113032,0.8311070939021531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,fold_contiguous_5,0.31579945009329774,0.8248503413697356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,fold_random_5,0.6107622415410021,0.6596532468602244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,fold_modulo_5,0.7131788904580397,0.5682679067021936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,fold_contiguous_5,0.7832127876286078,0.5375050962035441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,ACE2_HUMAN_Chan_2020,ACE2_HUMAN,fold_random_5,0.43841271587502534,0.7227777346225579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,ACE2_HUMAN_Chan_2020,ACE2_HUMAN,fold_modulo_5,0.7732091788520642,0.4624645124052789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,ACE2_HUMAN_Chan_2020,ACE2_HUMAN,fold_contiguous_5,0.8106671747888139,0.43514469445663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,fold_random_5,0.6668498532695504,0.614999491689796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,fold_modulo_5,0.6987594140393587,0.5867827757889266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,fold_contiguous_5,0.7520302898294811,0.5738735816521982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,fold_random_5,1.7820195936947965,0.3346262867234093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,fold_modulo_5,2.623113280257858,0.23264725632318328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,fold_contiguous_5,2.599407796466799,0.26472931396588684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,fold_random_5,0.1597903319756986,0.9319529145019091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,fold_modulo_5,0.2792362705176347,0.8604229421984156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,fold_contiguous_5,0.32609634722207814,0.8438061275131349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,fold_random_5,0.37279744398168285,0.8335244366695231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,fold_modulo_5,0.5338971315961525,0.7147665951902052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,fold_contiguous_5,0.5943385596963672,0.6975717468045363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,ANCSZ_Hobbs_2022,ANCSZ,fold_random_5,0.27386927022930807,0.79125027432922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,ANCSZ_Hobbs_2022,ANCSZ,fold_modulo_5,0.4462364871937146,0.6650403564171052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,ANCSZ_Hobbs_2022,ANCSZ,fold_contiguous_5,0.4444721795273043,0.6662042885127242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,fold_random_5,0.137265139021575,0.8859594887047725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,fold_modulo_5,0.3060829248363216,0.7924706567696828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,fold_contiguous_5,0.31088101221388276,0.7938852625274967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11_HUMAN,fold_random_5,0.4075554560864167,0.824671319789205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11_HUMAN,fold_modulo_5,1.7168101863855514,0.2859374332105935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11_HUMAN,fold_contiguous_5,1.4665764331260709,0.1954592363261094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,fold_random_5,0.14097793915079146,0.9320119904863626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,fold_modulo_5,0.3489856218047115,0.8188293256677266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,fold_contiguous_5,0.38532368029577685,0.8049620329921208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,fold_random_5,0.13732259401656116,0.9223813741021564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,fold_modulo_5,0.3898093268427204,0.7587368824385546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,fold_contiguous_5,0.5052077970374895,0.7101885927861333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BLAT_ECOLX_Deng_2012,BLAT_ECOLX,fold_random_5,0.28212660454493205,0.8465947643518082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BLAT_ECOLX_Deng_2012,BLAT_ECOLX,fold_modulo_5,0.6492939590039691,0.5928182032308429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BLAT_ECOLX_Deng_2012,BLAT_ECOLX,fold_contiguous_5,0.7779222343844714,0.49985092723377955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,fold_random_5,0.1891442163510582,0.9094291527334242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,fold_modulo_5,0.3346246578390431,0.8358519455250756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,fold_contiguous_5,0.3541999520464679,0.8211642431147228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,fold_random_5,0.3069023862548743,0.7762487817569137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,fold_modulo_5,0.36968033443700155,0.7447686324239722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,fold_contiguous_5,0.392777363696244,0.7404527985013035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,fold_random_5,0.156676327391391,0.9089455087233028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,fold_modulo_5,0.3286657030073815,0.8264189607102417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,fold_contiguous_5,0.3674909072340122,0.803821337583211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,fold_random_5,0.3943154570914318,0.6834461939901065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,fold_modulo_5,0.5427270762865728,0.6184512069973434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,fold_contiguous_5,0.6071170306850352,0.5830631936323645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN,fold_random_5,0.49795318373039354,0.5416261494215815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN,fold_modulo_5,0.6903806617309528,0.48992249061762466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN,fold_contiguous_5,0.8791051255078147,0.5028959620320098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,fold_random_5,0.30382435309159117,0.8273741057811522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,fold_modulo_5,0.510404651680992,0.7023206571420256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,fold_contiguous_5,0.6144876366839034,0.6403706060086856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,CALM1_HUMAN_Weile_2017,CALM1_HUMAN,fold_random_5,0.9287956236352637,0.2436711380887867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kermut,kermut,CALM1_HUMAN_Weile_2017,CALM1_HUMAN,fold_modulo_5,0.9712108148936681,0.1934357502459242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
