DMS_id,Kermut,ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
A0A140D2T1_ZIKV_Sourisseau_2019,0.917,0.995,0.94,1.071,1.083,0.948,1.003,0.992,1.03,0.935,0.979
A0A192B1T2_9HIV1_Haddox_2018,0.627,0.77,0.717,0.815,0.771,0.742,0.741,0.73,1.007,0.624,0.669
A0A1I9GEU1_NEIME_Kennouche_2019,1.021,1.119,1.105,1.012,1.018,1.013,1.024,1.02,1.01,1.245,1.389
A0A247D711_LISMN_Stadelmann_2021,0.677,1.125,0.732,1.038,1.053,0.954,0.994,1.065,1.041,0.813,1.023
A0A2Z5U3Z0_9INFA_Doud_2016,0.506,0.666,0.796,0.742,0.743,0.724,0.724,0.693,1.001,0.891,0.629
A0A2Z5U3Z0_9INFA_Wu_2014,0.971,0.984,1.278,0.984,0.99,0.978,0.974,0.971,1.045,1.06,0.966
A4_HUMAN_Seuma_2022,0.577,0.717,0.815,0.821,0.932,0.898,0.764,0.788,1.023,0.732,0.72
A4D664_9INFA_Soh_2019,0.824,1.045,0.979,0.964,1.062,0.981,0.96,0.93,1.048,0.937,0.886
A4GRB6_PSEAI_Chen_2020,0.277,0.458,0.39,0.573,0.575,0.546,0.598,0.546,1.003,0.353,0.528
AACC1_PSEAI_Dandage_2018,0.713,0.849,0.722,0.852,0.78,0.788,0.825,0.791,1.014,0.889,0.915
ACE2_HUMAN_Chan_2020,0.755,0.98,0.938,0.985,0.999,0.971,1.132,1.112,1.014,0.989,1.111
ADRB2_HUMAN_Jones_2020,0.699,0.75,0.801,0.783,0.761,0.807,0.782,0.766,1.002,0.756,0.737
AICDA_HUMAN_Gajula_2014_3cycles,2.623,3.116,3.035,2.575,2.596,2.518,2.549,2.543,2.617,2.889,3.032
AMFR_HUMAN_Tsuboyama_2023_4G3O,0.259,0.727,0.453,0.785,0.999,0.796,0.872,0.793,1.034,0.419,0.653
AMIE_PSEAE_Wrenbeck_2017,0.534,0.578,0.567,0.789,0.665,0.719,0.839,0.801,1.003,0.58,0.63
ANCSZ_Hobbs_2022,0.444,0.613,0.705,1.075,0.703,0.763,0.674,0.68,1.009,0.655,0.609
ARGR_ECOLI_Tsuboyama_2023_1AOY,0.306,0.557,0.385,0.778,0.9,0.781,0.735,0.702,1.033,0.394,0.48
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,1.785,3.089,1.572,1.383,2.045,1.847,1.619,1.597,1.812,1.714,1.859
BBC1_YEAST_Tsuboyama_2023_1TG0,0.339,0.64,0.561,0.838,0.78,0.873,0.814,0.805,1.038,0.545,0.707
