DMS_id,Kermut,ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
A0A140D2T1_ZIKV_Sourisseau_2019,0.384,-0.092,0.445,0.127,-0.064,0.445,0.342,0.37,0.082,0.429,0.297
A0A192B1T2_9HIV1_Haddox_2018,0.545,0.507,0.539,0.443,0.507,0.525,0.523,0.538,0.179,0.562,0.536
A0A1I9GEU1_NEIME_Kennouche_2019,0.068,0.054,0.06,0.089,0.055,0.093,0.043,0.062,-0.027,0.077,0.074
A0A247D711_LISMN_Stadelmann_2021,0.546,0.264,0.539,0.056,0.114,0.314,0.327,0.277,-0.004,0.474,0.344
A0A2Z5U3Z0_9INFA_Doud_2016,0.634,0.543,0.438,0.522,0.517,0.525,0.546,0.58,0.139,0.376,0.569
A0A2Z5U3Z0_9INFA_Wu_2014,0.451,0.465,0.296,0.485,0.463,0.502,0.55,0.567,0.113,0.349,0.533
A4_HUMAN_Seuma_2022,0.659,0.589,0.401,0.457,0.287,0.338,0.446,0.488,0.072,0.547,0.598
A4D664_9INFA_Soh_2019,0.382,0.126,0.323,0.405,0.043,0.33,0.389,0.46,0.121,0.412,0.423
A4GRB6_PSEAI_Chen_2020,0.825,0.698,0.75,0.676,0.658,0.677,0.668,0.687,0.216,0.752,0.675
AACC1_PSEAI_Dandage_2018,0.538,0.512,0.544,0.429,0.492,0.5,0.471,0.5,-0.051,0.49,0.425
ACE2_HUMAN_Chan_2020,0.435,0.255,0.268,0.199,0.177,0.211,0.191,0.197,0.039,0.385,0.262
ADRB2_HUMAN_Jones_2020,0.574,0.559,0.527,0.538,0.556,0.526,0.56,0.561,-0.201,0.506,0.559
AICDA_HUMAN_Gajula_2014_3cycles,0.265,0.203,0.144,0.381,0.222,0.267,0.293,0.379,-0.246,0.179,0.13
AMFR_HUMAN_Tsuboyama_2023_4G3O,0.844,0.528,0.735,0.445,0.163,0.428,0.38,0.454,0.099,0.763,0.563
AMIE_PSEAE_Wrenbeck_2017,0.698,0.663,0.608,0.508,0.627,0.577,0.402,0.46,0.191,0.601,0.433
ANCSZ_Hobbs_2022,0.666,0.564,0.532,0.466,0.52,0.48,0.535,0.541,0.026,0.569,0.597
ARGR_ECOLI_Tsuboyama_2023_1AOY,0.794,0.525,0.62,0.426,0.273,0.41,0.442,0.475,-0.008,0.706,0.606
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,0.195,0.01,0.311,0.664,-0.087,0.197,0.336,0.347,0.211,0.182,0.328
BBC1_YEAST_Tsuboyama_2023_1TG0,0.805,0.621,0.649,0.402,0.434,0.346,0.384,0.397,0.071,0.673,0.585
BCHB_CHLTE_Tsuboyama_2023_2KRU,0.71,0.472,0.612,0.257,0.323,0.417,0.345,0.286,-0.138,0.632,0.437
BLAT_ECOLX_Deng_2012,0.5,0.477,0.543,0.516,0.484,0.508,0.467,0.519,-0.147,0.526,0.425
BLAT_ECOLX_Firnberg_2014,0.821,0.721,0.779,0.74,0.641,0.69,0.632,0.731,-0.001,0.784,0.636
BLAT_ECOLX_Jacquier_2013,0.74,0.688,0.701,0.712,0.618,0.646,0.631,0.727,-0.025,0.701,0.613
BLAT_ECOLX_Stiffler_2015,0.804,0.744,0.778,0.735,0.653,0.68,0.623,0.724,-0.014,0.778,0.651
BRCA1_HUMAN_Findlay_2018,0.583,0.4,0.508,0.438,0.402,0.507,0.517,0.536,0.131,0.503,0.456
BRCA2_HUMAN_Erwood_2022_HEK293T,0.503,0.278,-0.181,0.439,0.195,-0.138,0.43,0.427,-0.364,0.03,0.401
C6KNH7_9INFA_Lee_2018,0.64,0.482,0.412,0.357,0.429,0.367,0.424,0.444,0.13,0.486,0.451
CALM1_HUMAN_Weile_2017,0.19,0.244,0.261,0.224,0.225,0.24,0.263,0.239,0.009,0.27,0.22
CAPSD_AAV2S_Sinai_2021,0.665,0.579,0.642,0.565,0.17,0.574,0.54,0.563,0.181,0.686,0.681
CAR11_HUMAN_Meitlis_2020_gof,0.547,0.389,0.197,0.162,0.323,0.201,0.186,0.187,0.003,0.441,0.37
CAR11_HUMAN_Meitlis_2020_lof,0.706,0.583,0.347,0.249,0.486,0.248,0.258,0.272,-0.141,0.517,0.481
CAS9_STRP1_Spencer_2017_positive,0.235,0.062,0.194,0.169,0.069,0.199,0.193,0.198,0.056,0.19,0.175
CASP3_HUMAN_Roychowdhury_2020,0.69,0.607,0.69,0.62,0.588,0.647,0.584,0.628,-0.011,0.655,0.566
CASP7_HUMAN_Roychowdhury_2020,0.658,0.613,0.651,0.616,0.606,0.636,0.584,0.627,0.046,0.546,0.568
CATR_CHLRE_Tsuboyama_2023_2AMI,0.787,0.713,0.71,0.343,0.297,0.221,0.391,0.389,0.025,0.788,0.729
CBPA2_HUMAN_Tsuboyama_2023_1O6X,0.805,0.666,0.679,0.426,0.403,0.439,0.477,0.475,0.196,0.715,0.605
CBS_HUMAN_Sun_2020,0.442,0.383,0.378,0.384,0.344,0.37,0.327,0.363,0.015,0.465,0.399
CBX4_HUMAN_Tsuboyama_2023_2K28,0.802,0.582,0.75,0.533,0.493,0.609,0.537,0.597,0.105,0.755,0.575
CCDB_ECOLI_Adkar_2012,0.457,0.399,0.537,0.559,0.347,0.431,0.485,0.541,0.125,0.496,0.443
CCDB_ECOLI_Tripathi_2016,0.479,0.283,0.36,0.486,0.324,0.331,0.516,0.528,0.535,0.812,0.423
