DMS_id,Kermut,ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
A0A140D2T1_ZIKV_Sourisseau_2019,0.418,0.154,0.459,0.111,-0.04,0.454,0.355,0.385,0.057,0.467,0.353
A0A192B1T2_9HIV1_Haddox_2018,0.622,0.493,0.544,0.433,0.492,0.515,0.515,0.529,-0.027,0.626,0.594
A0A1I9GEU1_NEIME_Kennouche_2019,0.051,0.082,0.073,0.092,0.063,0.095,0.047,0.067,-0.039,0.044,0.085
A0A247D711_LISMN_Stadelmann_2021,0.536,0.278,0.511,0.043,0.081,0.303,0.274,0.236,-0.051,0.402,0.298
A0A2Z5U3Z0_9INFA_Doud_2016,0.708,0.597,0.481,0.516,0.515,0.53,0.537,0.572,-0.007,0.43,0.635
A0A2Z5U3Z0_9INFA_Wu_2014,0.494,0.453,0.265,0.464,0.452,0.507,0.533,0.544,0.108,0.364,0.503
A4_HUMAN_Seuma_2022,0.656,0.58,0.433,0.45,0.289,0.338,0.448,0.479,-0.002,0.555,0.58
A4D664_9INFA_Soh_2019,0.538,0.201,0.337,0.397,0.023,0.336,0.392,0.461,-0.021,0.45,0.507
A4GRB6_PSEAI_Chen_2020,0.831,0.724,0.765,0.663,0.646,0.669,0.65,0.678,-0.0,0.775,0.695
AACC1_PSEAI_Dandage_2018,0.568,0.458,0.568,0.421,0.488,0.487,0.471,0.5,0.012,0.454,0.436
ACE2_HUMAN_Chan_2020,0.462,0.254,0.267,0.213,0.181,0.225,0.216,0.222,0.086,0.365,0.264
ADRB2_HUMAN_Jones_2020,0.587,0.536,0.502,0.512,0.526,0.499,0.533,0.536,0.016,0.547,0.571
AICDA_HUMAN_Gajula_2014_3cycles,0.233,0.208,0.087,0.346,0.222,0.203,0.225,0.313,-0.19,0.185,0.068
AMFR_HUMAN_Tsuboyama_2023_4G3O,0.86,0.594,0.761,0.474,0.183,0.448,0.383,0.469,-0.07,0.794,0.623
AMIE_PSEAE_Wrenbeck_2017,0.715,0.682,0.683,0.504,0.611,0.567,0.437,0.479,-0.02,0.694,0.668
ANCSZ_Hobbs_2022,0.665,0.588,0.532,0.47,0.523,0.484,0.537,0.543,0.017,0.591,0.601
ARGR_ECOLI_Tsuboyama_2023_1AOY,0.792,0.58,0.696,0.429,0.275,0.431,0.438,0.47,0.024,0.735,0.611
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,0.286,-0.112,0.378,0.71,0.041,0.289,0.393,0.416,0.016,0.251,0.209
BBC1_YEAST_Tsuboyama_2023_1TG0,0.819,0.64,0.675,0.426,0.453,0.377,0.414,0.425,0.02,0.69,0.605
BCHB_CHLTE_Tsuboyama_2023_2KRU,0.759,0.573,0.648,0.284,0.314,0.419,0.35,0.302,0.018,0.675,0.512
BLAT_ECOLX_Deng_2012,0.593,0.517,0.56,0.522,0.501,0.521,0.473,0.523,-0.034,0.508,0.442
