DMS_id,Kermut,ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
A0A140D2T1_ZIKV_Sourisseau_2019,1.099,1.631,1.063,1.2,1.247,1.076,1.128,1.114,1.156,1.055,1.264
A0A192B1T2_9HIV1_Haddox_2018,0.754,0.79,0.753,0.842,0.79,0.765,0.765,0.754,1.041,0.766,0.763
A0A1I9GEU1_NEIME_Kennouche_2019,1.025,1.189,1.137,1.023,1.03,1.019,1.032,1.028,1.014,1.1,1.96
A0A247D711_LISMN_Stadelmann_2021,0.661,1.289,0.813,1.146,1.155,1.05,1.085,1.164,1.147,0.865,1.119
A0A2Z5U3Z0_9INFA_Doud_2016,0.631,0.749,0.879,0.759,0.764,0.749,0.738,0.706,1.027,0.962,0.731
A0A2Z5U3Z0_9INFA_Wu_2014,1.026,0.989,1.261,0.987,0.995,0.986,0.976,0.974,1.048,1.093,0.979
A4_HUMAN_Seuma_2022,0.693,0.705,0.857,0.828,0.947,0.91,0.773,0.793,1.039,0.763,0.71
A4D664_9INFA_Soh_2019,0.995,1.141,1.034,1.01,1.108,1.034,1.007,0.977,1.098,1.039,1.005
A4GRB6_PSEAI_Chen_2020,0.316,0.522,0.452,0.598,0.599,0.572,0.625,0.573,1.061,0.431,0.653
AACC1_PSEAI_Dandage_2018,0.783,0.83,0.8,0.863,0.795,0.795,0.855,0.814,1.037,0.844,1.087
ACE2_HUMAN_Chan_2020,0.923,0.963,0.946,0.992,1.011,0.983,2.453,1.906,1.011,0.886,3.812
ADRB2_HUMAN_Jones_2020,0.752,0.77,0.896,0.798,0.773,0.823,0.797,0.78,1.053,0.846,0.858
AICDA_HUMAN_Gajula_2014_3cycles,1.601,3.15,3.057,2.588,2.592,2.514,2.546,2.546,2.622,3.042,3.027
AMFR_HUMAN_Tsuboyama_2023_4G3O,0.349,0.81,0.532,0.848,1.054,0.855,0.914,0.838,1.074,0.515,0.779
AMIE_PSEAE_Wrenbeck_2017,0.594,0.655,0.731,0.856,0.7,0.773,0.973,0.889,1.083,0.692,1.01
ANCSZ_Hobbs_2022,0.544,0.634,0.702,1.011,0.704,0.767,0.675,0.68,1.013,0.684,0.604
ARGR_ECOLI_Tsuboyama_2023_1AOY,0.354,0.671,0.499,0.862,0.988,0.9,0.798,0.762,1.138,0.407,0.545
